,스테이션명,위치,상태정보,위도,경도
0,무역전시관입구(택시승강장), 유성구 도룡동 3-8 ,정상,36.374580, 127.386131
1,대전컨벤션센터, 유성구 도룡동 4-19 ,정상,36.374389, 127.392375
2,한밭수목원1, 서구 만년동 396 ,정상,36.368995, 127.388451
3,초원아파트(104동 버스정류장), 서구 만년동 401 ,정상,36.367945, 127.379302
4,둔산대공원 입구(버스정류장), 서구 둔산2동 1521-10 ,정상,36.364974, 127.388856
5,백합네거리(농협), 서구 월평2동 266 ,정상,36.362315, 127.376427
6,정부청사 입구(대덕대로), 서구 둔산2동 920-2 ,정상,36.361681, 127.379890
7,정부청사 입구(샘머리), 서구 둔산2동 1518 ,정상,36.361949, 127.390433
8,(운영중지)황실아파트(성룡초등학교), 서구 월평2동 304 ,Network 에러,36.361655, 127.374179
9,만년동 KBS 부근(기업은행), 서구 만년동 300 ,정상,36.368632, 127.379747
10,누리아파트(후문 버스정류장), 서구 월평3동 301 ,정상,36.358899, 127.374157
11,정부청사역 4번출구, 서구 둔산2동 949-1 ,정상,36.357932, 127.381550
12,삼천중학교(정문 맞은편), 서구 둔산2동 911 ,정상,36.358800, 127.395412
13,둔산 하이마트, 서구 둔산2동 962 ,정상,36.355534, 127.379146
14,둔산 홈플러스(법원 버스정류장), 서구 둔산1동 1380-5 ,정상,36.355418, 127.390085
15,국화아파트(501동), 서구 둔산3동 1386 ,정상,36.353836, 127.395240
16,타임월드, 서구 둔산2동 1036 ,정상,36.352078, 127.378760
17,대전시청, 서구 둔산1동 1420 ,정상,36.351105, 127.384575
18,현대아이텔(시청역 6번출구), 서구 둔산1동 1457 ,정상,36.351356, 127.387547
19,크로바아파트(정문 맞은편), 서구 둔산1동 1554-1 ,정상,36.351114, 127.391753
20,카이스트 학사식당, 유성구 어은동 44 ,정상,36.373569, 127.359803
21,카이스트 창의학습관, 유성구 구성동 23 ,정상,36.370226, 127.362150
22,카이스트 정문, 유성구 구성동 284-4 ,정상,36.366170, 127.363896
23,화폐박물관, 유성구 가정동 35 ,정상,36.376804, 127.371004
24,카이스트 후문, 유성구 구성동 145 ,정상,36.374511, 127.366894
25,엑스포과학공원 주차장, 유성구 가정동 39-2 ,정상,36.376930, 127.378750
26,엑스포과학공원, 유성구 도룡동 3-1 ,정상,36.377146, 127.379383
27,스마트시티(201동), 유성구 도룡동 4-32 ,정상,36.377927, 127.390637
28,만년동주민센터, 서구 만년동 13 ,정상,36.367511, 127.375161
29,선사유적지공용주차장, 서구 월평2동 2243 ,정상,36.361967, 127.379233
30,유성구청, 유성구 어은동 59-12 ,정상,36.361773, 127.357485
31,홈플러스(유성점), 유성구 봉명동 669 ,정상,36.359293, 127.354503
32,월평역 2번출구(육교밑), 서구 월평동 428 ,정상,36.358494, 127.361197
33,진달래아파트(107동), 서구 월평동 604 ,정상,36.358209, 127.366138
34,갈마역 2번출구, 서구 둔산동 1515-2 ,정상,36.357580, 127.372055
35,가람아파트(3동), 서구 둔산동 2156 ,정상,36.357513, 127.396525
36,수정타운아파트(13동), 서구 둔산동 1515 ,정상,36.357915, 127.397638
37,갑천역 1번출구, 서구 월평동 1534 ,정상,36.354558, 127.354790
38,패션월드, 서구 월평1동 1498 ,정상,36.351205, 127.351928
39,월평타운, 서구 월평동 1543 ,정상,36.352793, 127.356048
40,대전일보, 서구 월평동 41-3 ,정상,36.353733, 127.361847
41,갈마네거리, 서구 갈마동 292-20 ,정상,36.353422, 127.367895
42,둔산여고, 서구 둔산동 1526 ,정상,36.353331, 127.374415
43,을지대학병원, 서구 둔산동 1542 ,정상,36.354493, 127.382811
44,청솔아파트(9동), 서구 둔산동 2161 ,정상,36.351370, 127.398314
45,경성큰마을, 서구 갈마동 1438 ,정상,36.347563, 127.377248
46,오페라웨딩홀, 서구 둔산동 1257 ,정상,36.348453, 127.382779
47,대전종합고용지원센터(탄방역 4번출구), 서구 탄방동 1453-1 ,정상,36.346504, 127.385134
48,한국농어촌공사, 서구 탄방동 735 ,정상,36.347204, 127.390034
49,한가람아파트, 서구 탄방동 1447 ,정상,36.346803, 127.393432
50,남선공원종합체육관, 서구 탄방동 1458 ,정상,36.348695, 127.398681
51,유승기업사, 서구 탄방동 521-2 ,정상,36.343476, 127.381142
52,탄방지하차도, 서구 탄방동 1452 ,정상,36.343363, 127.383460
53,궁동네거리, 유성구 장대동 312-3 ,정상,36.365025, 127.338651
54,충대정문오거리1(정문), 유성구 궁동 258-8 ,정상,36.362446, 127.344131
55,충대정문오거리2(건너편), 유성구 궁동 376-1  ,정상,36.361736, 127.344994
56,한진오피스텔, 유성구 봉명동 535-5 ,정상,36.357928, 127.342792
57,구암역 3번출구, 유성구 구암동 96-9 ,정상,36.356429, 127.331122
58,유성온천역 6번출구, 유성구 봉명동 552-5 ,정상,36.354262, 127.341502
59,유성온천역 3번출구, 유성구 봉명동 326-95 ,정상,36.353299, 127.341132
60,만년교(코젤병원), 유성구 봉명동 328-22 ,정상,36.352130, 127.346011
61,도안휴먼시아1단지, 유성구 봉명동 1024 ,정상,36.350259, 127.340585
62,상대초등학교, 유성구 상대동 138-67 ,정상,36.348384, 127.335775
63,유성생명과학고등학교, 유성구 상대동 425-9 ,정상,36.348280, 127.330728
64,도안 센트롤시티, 유성구 봉명동 385-1 ,정상,36.348769, 127.344396
65,도안 휴먼시아6단지, 유성구 상대동 7-1 ,정상,36.345705, 127.340362
66,도안 한라비발디, 유성구 상대동 173 ,정상,36.344908, 127.335572
67,도안 신안인스빌리베라, 유성구 원신흥동 204-8 ,정상,36.341868, 127.344879
68,도안 트리풀시티9단지(504동 맞은편), 유성구 상대동 72-5 ,정상,36.342793, 127.337476
69,도안 휴먼시아10단지, 유성구 원신흥동 183-2 ,정상,36.338048, 127.338356
70,대전지방국세청, 대덕구 법동 186 ,정상,36.371474, 127.428588
71,대덕경찰서(법동), 대덕구 법동 212 ,정상,36.370172, 127.429358
72,대전중앙병원, 대덕구 법동 285-3 ,정상,36.367406, 127.429736
73,중리시장, 대덕구 중리동 370-24 ,정상,36.366678, 127.426067
74,보람아파트, 대덕구 법동 202-4 ,정상,36.366524, 127.430356
75,선비마을입구, 대덕구 송촌동 446-3 ,정상,36.367665, 127.436364
76,선비마을3단지, 대덕구 송촌동 461-2 ,정상,36.368360, 127.440312
77,중리동(하나로병원), 대덕구 중리동 107-8 ,정상,36.363177, 127.431284
78,수도시설관리사업소, 대덕구 중리동 118-12 ,정상,36.362097, 127.435540
79,송촌소방서, 대덕구 송촌동 539 ,정상,36.362853, 127.438697
80,동춘당공원, 대덕구 송촌동 192-2 ,정상,36.364663, 127.440966
81,선비마을5단지, 대덕구 송촌동 510 ,정상,36.366036, 127.444872
82,유평초등학교, 중구 태평동 254-15 ,정상,36.330654, 127.398255
83,강남한의원, 중구 태평2동 2409-21 ,정상,36.326242, 127.392813
84,태평1동주민센터, 중구 태평동 331-41 ,정상,36.326129, 127.396967
85,삼부프라자, 중구 태평2동 2395-1 ,정상,36.323268, 127.393631
86,쌍용예가아파트, 중구 유천동 198-15 ,정상,36.322555, 127.397450
87,태평초등학교, 중구 유천동 319-1 ,정상,36.321427, 127.394006
88,버드내초등학교, 중구 태평동 422-33 ,정상,36.319780, 127.392413
