관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,관리기관전화번호,위도,경도,데이터기준일자
세종특별자치시,세종특별자치시 조치원읍 건강길 16,세종특별자치시 조치원읍 교리 129-1,다목적,3,"200,200,200",교리 세종시보건소앞,30,044-300-2454,36.6050595,127.296286,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 남리144,다목적,2,"200,200",남리 2호어린이공원내,30,044-300-2454,36.597678,127.3024523,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 남리 425,다목적,3,"200,200,200",남리 제3호어린이공원(파크리안),30,044-300-2454,36.594863,127.300492,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 명리82,다목적,3,"200,200,200",명리 에몬스가구앞,30,044-300-2454,36.60062,127.301301,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 상리18-10,다목적,4,"130,200,200,200",상리 거부장앞,30,044-300-2454,36.6024343,127.3031453,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 상리 117-10,다목적,3,"200,200,200",상리 소문난생선구이앞,30,044-300-2454,36.6025958,127.3009317,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 서창리 279,다목적,2,"200,200",서창리 세븐일레븐고대점,30,044-300-2454,36.608954,127.29193,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 신안리 445-19,다목적,2,"200,200",신안리 GS25홍대점앞,30,044-300-2454,36.6187,127.28568,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 신안리 489-2,다목적,2,"200,200",신안리 조형아파트정문앞,30,044-300-2454,36.6344099,127.2888132,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 신안리 378-5,다목적,2,"200,200",신안리 또래오래세종홍익대점앞,30,044-300-2454,36.617364,127.288724,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 신흥리 382,다목적,3,"200,200,200",신흥리 세종시민체육관앞삼거리,30,044-300-2454,36.5947204,127.2841367,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 정리 40,다목적,3,"200,200,200",정리 우창한약방옆(세종전통시장입구),30,044-300-2454,36.599518,127.300229,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 죽림리 96-6,다목적,3,"200,200,200",죽림리 신동아파밀리에아파트상가앞,30,044-300-2454,36.592101,127.2964607,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 침산리 100-8,다목적,1,200,침산리 조치원지하차도육교(욱일아파트113동뒤),30,044-300-2454,36.603537,127.294083,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 침산리 179-1,다목적,2,"200,200",침산리 충령탑주차장입구,30,044-300-2454,36.5989961,127.2937181,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 침산리 240-4,다목적,1,200,침산리 세종문화예술회관주차장입구,30,044-300-2454,36.598431,127.288342,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 침산리 261-1,다목적,1,200,침산리 HN하나마트앞사거리,30,044-300-2454,36.604491,127.292506,2021-01-01
세종특별자치시,,세종특별자치시 조치원읍 서창리 28-1,다목적,1,200,서창리 조치원중학교정문앞,30,044-300-2454,36.611377,127.298498,2021-01-01
