가로등위치명,설치대수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
전동면 노장리 609-9,1,,전동면 노장리 609-9,36.6526721,127.2685255,,LED,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4699468,127.2691494,,CDM,044-300-5132,세종특별자치시청,2019-09-19
전동면 노장리 609-9,1,,전동면 노장리 609-9,36.6547516,127.2681479,,LED,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4694872,127.2689554,,CDM,044-300-5132,세종특별자치시청,2019-09-19
연기면 산울리 141-3,1,,연기면 산울리 141-3,36.5293095,127.264695,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4677358,127.2678234,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4905276,127.2987903,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4708888,127.2698948,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4903195,127.2986582,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4693035,127.2691885,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4900752,127.298493,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4679211,127.2672586,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4898128,127.2983056,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4680364,127.2669077,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4892611,127.2979869,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4678289,127.2675455,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4890622,127.2978771,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4705398,127.2697486,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4888633,127.2977672,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.46775,127.2681463,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4885204,127.2976922,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4681083,127.2683006,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4882672,127.2975382,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4684342,127.2684542,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4881398,127.2973385,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4701761,127.2695749,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4878776,127.2971958,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4690761,127.2687435,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4901543,127.2981463,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4687659,127.2686151,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4903262,127.2982675,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4697092,127.2693678,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4904982,127.2983887,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4688522,127.2689702,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4906701,127.2985099,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4684801,127.2687964,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.490851,127.2986199,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4681395,127.2686504,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4910232,127.2987746,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.467799,127.2684932,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.491304,127.2990288,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4674765,127.2683303,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4914942,127.2991834,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4671314,127.2681676,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4917021,127.299282,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 대평동 574-2,1,,세종특별자치시 대평동 574-2,36.4668541,127.2680604,,CDM,044-300-5132,세종특별자치시청,2019-09-19
연기면 누리리 194-14,1,월산공단로 243,연기면 누리리 194-14,36.5318362,127.2951686,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 보람동 700-27,1,,세종특별자치시 보람동 700-27,36.47167552,127.2847148,,CDM,044-300-5132,세종특별자치시청,2019-09-19
연기면 누리리 194-14,1,월산공단로 243,연기면 누리리 194-14,36.5321424,127.2951212,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 보람동 700-27,1,,세종특별자치시 보람동 700-27,36.47180247,127.284866,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4898287,127.2979483,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 보람동 700-29,1,,세종특별자치시 보람동 700-29,36.4731256,127.2867347,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 소담동 283-2,1,,세종특별자치시 소담동 283-2,36.4895483,127.2977834,,메탈,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 보람동 700-29,1,,세종특별자치시 보람동 700-29,36.4732353,127.2868989,,CDM,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 나성동 212-3,1,,세종특별자치시 나성동 212-3,36.4844375,127.2646497,,LED,044-300-5132,세종특별자치시청,2019-09-19
세종특별자치시 보람동 700-29,1,,세종특별자치시 보람동 700-29,36.4742076,127.2888876,,CDM,044-300-5132,세종특별자치시청,2019-09-19
