STATION_ID,STATION_NM,AREA,GU,DONG,ADDR1,ADDR2,LOCKER,Y_POS,X_POS
1,첫마을 1단지,1생활권,세종,한솔동,세종특별자치시 한솔동 168-38,,13,36.482114,127.259628
2,첫마을 3단지,1생활권,세종,한솔동,세종특별자치시 한솔동 168-66,,15,36.47985,127.260513
3,첫마을  4단지,1생활권,세종,한솔동,세종특별자치시 한솔동 산 2,,15,36.480436,127.253314
4,LH세종특별본부,2생활권,세종,어진동, 세종특별자치시 어진동 178-286 ,,15,36.495484,127.266063
5,한솔동 주민센터,1생활권,세종,한솔동,세종특별자치시 한솔동 산 6,,14,36.4789789,127.2555235
6,한솔중학교,1생활권,세종,한솔동,세종특별자치시 한솔동 산16,,12,36.474876,127.255207
7,첫마을 5단지,1생활권,세종,한솔동,세종특별자치시 한솔동 316-6|,,15,36.477852,127.249886
8,첫마을 6단지,1생활권,세종,한솔동,세종특별자치시 한솔동 203-6,,15,36.475618,127.252225
9,첫마을 7단지,1생활권,세종,한솔동,세종특별자치시 한솔동 102,,15,36.474186,127.255057
10,세종보 홍보관,2생활권,연기,세종리,세종특별자치시 연기면 세종리 551-174,,15,36.476774,127.25951
11,첫마을 (BRT정류장),1생활권,세종,나성동,세종특별자치시 나성동 531-1,,15,36.481001,127.261527
12,도담동 주민센터,2생활권,세종,도담동,세종특별자치시 도담동 260-400  ,,13,36.515895,127.262853
13,도시통합정보센터,2생활권,세종,다정동,세종특별자치시 다정동 363-82 ,,10,36.493845,127.256103
14,종합민원실 (BRT정류장),2생활권,세종,어진동,세종특별자치시 어진동 68-2,,15,36.504611,127.261738
15,고용노동부 (BRT정류장),2생활권,세종,어진동,세종특별자치시 어진동 101-1,,15,36.501559,127.260176
16,성남중학교,2생활권,세종,어진동,세종특별자치시 어진동 97-10 ,,15,36.497462,127.255843
17,문화체육관광부,2생활권,세종,어진동,세종특별자치시 어진동 산 52,,10,36.498175,127.26442
18,국무조정실 (대통령 기록관),2생활권,세종,어진동,세종특별자치시 어진동 34-72 ,,10,36.502481,127.272106
19,호수공원 (정부세종컨벤션센터),2생활권,세종,어진동,세종특별자치시 어진동 183-38,,15,36.499384,127.269759
20,호수공원 (제1주차장),2생활권,연기,세종리,세종특별자치시 연기면 세종리 548-105 ,,15,36.492559,127.269245
21,한솔유치원,1생활권,세종,한솔동,세종특별자치시 한솔동 32,,15,36.477965,127.25215
22,범지기마을 10단지,1생활권,세종,아름동,세종특별자치시 아름동 산 73,,12,36.516017,127.25105
23,아름동 주민센터,1생활권,세종,아름동,세종특별자치시 아름동 95-2,,12,36.511962,127.247877
24,가재마을 9단지,1생활권,세종,종촌동,세종특별자치시 종촌동 97-14,,12,36.501754,127.250707
25,가재마을 11단지,1생활권,세종,종촌동,세종특별자치시 종촌동 151-87,,12,36.504826,127.250465
26,도램마을 (BRT 정류장),1생활권,세종,도담동,세종특별자치시 도담동 257,,12,36.514855,127.258498
27,한뜰마을 2단지 (세종1번가),1생활권,세종,어진동,세종특별자치시 어진동 3-166,,12,36.504509,127.270131
28,국책연구단지,2생활권,세종,반곡동,세종특별자치시 시청대로 370(반곡동),,12,36.496194,127.303916
29,공정거래위원회(해양수산부),2생활권,세종,어진동,세종특별자치시 어진동 17-3,,20,36.504866,127.267261
30,세종시청,3생활권,세종,보람동,세종특별자치시 보람동 664-10,,30,36.478848,127.288719
31,국세청,2생활권,세종,나성동,세종특별자치시 나성동 471-1,,12,36.484645,127.259567
32,한국개발연구원 (KDI),3생활권,세종,반곡동,세종특별자치시 반곡동 203-36,,12,36.482502,127.310611
33,시외버스터미널,3생활권,세종,대평동,세종특별자치시 대평동 269-12,,20,36.469003,127.274106
34,가락마을 21단지,1생활권,세종,고운동,세종특별자치시 마음안로 221 (고운동1390),,15,36.517472,127.240872
35,가락마을 13단지,1생활권,세종,고운동,세종특별자치시 마음로 182 (고운동1401),,15,36.514074,127.229691
